year,supply_scenario,allocation_scenario,combined_scenario,largest_frontier_run_flop,frontier_run_share_of_total_compute,training_compute_flop_year,frontier_lab_training_compute_flop_year
2036,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,1.3615650796666437e+29,0.007908408,3.2367353198940797e+30,1.8449391323396257e+30
2037,capex_rich,allocation_base,capex_rich × allocation_base,1.2329862311491146e+29,0.006289890749999999,3.881327728427154e+30,2.192950166561342e+30
2037,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,4.285001102262509e+28,0.0021859278,2.4307304965907433e+30,1.2518262057442328e+30
2037,capex_rich,allocation_training_race,capex_rich × allocation_training_race,6.967848485166203e+29,0.03554541375,6.684508865624544e+30,4.445198395640322e+30
2037,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,1.4270955474074688e+29,0.00728010975,3.646095744886115e+30,2.0600440958606552e+30
2038,capex_rich,allocation_base,capex_rich × allocation_base,1.2381747245330259e+29,0.005548032000000001,4.284934677924369e+30,2.3995634196376467e+30
2038,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,4.063869541721903e+28,0.0018209448,2.588814701245973e+30,1.3202954976354462e+30
2038,capex_rich,allocation_training_race,capex_rich × allocation_training_race,7.701741590101261e+29,0.03451008,7.677174631281161e+30,5.066935256645566e+30
2038,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,1.4901288835949786e+29,0.0066769920000000005,4.106395733010853e+30,2.299581610486078e+30
2039,capex_rich,allocation_base,capex_rich × allocation_base,1.2332988470766794e+29,0.004854390750000001,4.725486623759374e+30,2.6226450761864526e+30
2039,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,3.7924819717127517e+28,0.0014927598,2.743830942828024e+30,1.385634626128152e+30
2039,capex_rich,allocation_training_race,capex_rich × allocation_training_race,8.502755132642432e+29,0.03346771625,8.815827195938186e+30,5.774366813339512e+30
2039,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,1.5493698794841827e+29,0.006098478750000002,4.623863255506484e+30,2.566244106806099e+30
2040,capex_rich,allocation_base,capex_rich × allocation_base,1.2167792089529355e+29,0.0042075,5.205472551670312e+30,2.8630099034186717e+30
2040,capex_rich,allocation_inference_heavy,capex_rich × allocation_inference_heavy,3.4703150344468753e+28,0.0012000000000000001,2.891929195372396e+30,1.445964597686198e+30
2040,capex_rich,allocation_training_race,capex_rich × allocation_training_race,9.375272960247883e+29,0.03241874999999999,1.0121752183803385e+31,6.5791389194722e+30
2040,capex_rich,allocation_rnd_acceleration,capex_rich × allocation_rnd_acceleration,1.6032855459144567e+29,0.005544000000000001,5.205472551670312e+30,2.8630099034186717e+30
2024,chip_bottleneck,allocation_base,chip_bottleneck × allocation_base,1.344461773058183e+27,0.0351,1.1491126265454554e+28,7.46923207254546e+27
2024,chip_bottleneck,allocation_inference_heavy,chip_bottleneck × allocation_inference_heavy,9.523270892495461e+26,0.024862499999999996,1.1491126265454554e+28,7.46923207254546e+27
2024,chip_bottleneck,allocation_training_race,chip_bottleneck × allocation_training_race,1.5283197933054554e+27,0.03989999999999999,1.1491126265454554e+28,8.043788385818187e+27
2024,chip_bottleneck,allocation_rnd_acceleration,chip_bottleneck × allocation_rnd_acceleration,1.344461773058183e+27,0.0351,1.1491126265454554e+28,7.46923207254546e+27
2025,chip_bottleneck,allocation_base,chip_bottleneck × allocation_base,3.36707918926119e+27,0.030703750000000005,3.180240084308089e+28,2.0406540540976905e+28
2025,chip_bottleneck,allocation_inference_heavy,chip_bottleneck × allocation_inference_heavy,2.2590914640263915e+27,0.020600222222222218,3.070576633125051e+28,1.9446985343125323e+28
2025,chip_bottleneck,allocation_training_race,chip_bottleneck × allocation_training_race,4.424189165561011e+27,0.04034333333333333,3.326458019218806e+28,2.328520613453164e+28
2025,chip_bottleneck,allocation_rnd_acceleration,chip_bottleneck × allocation_rnd_acceleration,3.318473572263844e+27,0.03026052469135803,3.1071311168527305e+28,1.993742466647169e+28
2026,chip_bottleneck,allocation_base,chip_bottleneck × allocation_base,5.930724907563785e+27,0.026600000000000002,6.242868323751352e+28,3.9538166050425227e+28
2026,chip_bottleneck,allocation_inference_heavy,chip_bottleneck × allocation_inference_heavy,3.747566604132238e+27,0.01680827777777778,5.796949157769112e+28,3.5747853139576195e+28
2026,chip_bottleneck,allocation_training_race,chip_bottleneck × allocation_training_race,9.093778191597802e+27,0.040786666666666666,6.837427211727671e+28,4.78619904820937e+28
2026,chip_bottleneck,allocation_rnd_acceleration,chip_bottleneck × allocation_rnd_acceleration,5.765459557405923e+27,0.02585876543209877,5.9455888797631924e+28,3.765539623850022e+28
2027,chip_bottleneck,allocation_base,chip_bottleneck × allocation_base,8.745760554655989e+27,0.022781250000000006,1.0365345842555244e+29,6.478341151597028e+28
2027,chip_bottleneck,allocation_inference_heavy,chip_bottleneck × allocation_inference_heavy,5.168852460154215e+27,0.013464,9.213640748937993e+28,5.528184449362796e+28
2027,chip_bottleneck,allocation_training_race,chip_bottleneck × allocation_training_race,1.5828267003279727e+28,0.041229999999999996,1.1900952634044909e+29,8.330666843831436e+28
2027,chip_bottleneck,allocation_rnd_acceleration,chip_bottleneck × allocation_rnd_acceleration,8.39784964095911e+27,0.021875000000000002,9.59754244681041e+28,5.998464029256507e+28
2028,chip_bottleneck,allocation_base,chip_bottleneck × allocation_base,1.1303438766801372e+28,0.019240000000000004,1.5274917252434284e+29,9.419532305667808e+28
2028,chip_bottleneck,allocation_inference_heavy,chip_bottleneck × allocation_inference_heavy,6.194990745936515e+27,0.010544722222222221,1.2924929982829007e+29,7.539542489983588e+28
2028,chip_bottleneck,allocation_training_race,chip_bottleneck × allocation_training_race,2.4482950703837616e+28,0.04167333333333333,1.8408233611907985e+29,1.2885763528335588e+29
2028,chip_bottleneck,allocation_rnd_acceleration,chip_bottleneck × allocation_rnd_acceleration,1.0745244259798834e+28,0.01828987654320988,1.3708259072697434e+29,8.453426428163419e+28
2029,chip_bottleneck,allocation_base,chip_bottleneck × allocation_base,1.3773219892547908e+28,0.01596875,2.156277086895954e+29,1.3117352278617053e+29
2029,chip_bottleneck,allocation_inference_heavy,chip_bottleneck × allocation_inference_heavy,6.924045312365897e+27,0.008027777777777778,1.725021669516763e+29,9.775122793928323e+28
2029,chip_bottleneck,allocation_training_race,chip_bottleneck × allocation_training_race,3.6326081323907172e+28,0.04211666666666666,2.7312843100682083e+29,1.911899017047746e+29
2029,chip_bottleneck,allocation_rnd_acceleration,chip_bottleneck × allocation_rnd_acceleration,1.3010470148939432e+28,0.015084413580246911,1.868773475309827e+29,1.1368371974801446e+29
2030,chip_bottleneck,allocation_base,chip_bottleneck × allocation_base,1.519818268078256e+28,0.01296,2.8144782742189927e+29,1.6886869645313955e+29
2030,chip_bottleneck,allocation_inference_heavy,chip_bottleneck × allocation_inference_heavy,6.907785114286242e+27,0.005890500000000002,2.1108587056642447e+29,1.1609722881153346e+29
