year,supply_scenario,allocation_scenario,combined_scenario,usable_compute_flop_year,inference_share,training_share,ai_rnd_experiment_share,post_training_share,safety_eval_share,reserved_idle_fragmented_share,inference_compute_flop_year,training_compute_flop_year,ai_rnd_experiment_compute_flop_year,post_training_compute_flop_year,safety_eval_compute_flop_year,reserved_idle_fragmented_compute_flop_year,frontier_lab_training_share,frontier_lab_training_compute_flop_year,largest_run_concentration,cluster_contiguity_factor,largest_frontier_run_flop,frontier_run_share_of_total_compute,binding_constraint
2030,base_input_case,allocation_base,base_input_case × allocation_base,1.8422829435906177e+30,0.6,0.24,0.1,0.04,0.01,0.01,1.1053697661543706e+30,4.421479064617482e+29,1.8422829435906176e+29,7.369131774362471e+28,1.8422829435906177e+28,1.8422829435906177e+28,0.6,2.6528874387704893e+29,0.1,0.9,2.3875986948934406e+28,0.012960000000000001,capex
2030,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,1.8422829435906177e+30,0.7,0.18,0.06,0.03,0.01,0.02,1.2895980605134323e+30,3.316109298463112e+29,1.1053697661543705e+29,5.526848830771853e+28,1.8422829435906177e+28,3.6845658871812354e+28,0.55,1.8238601141547117e+29,0.07,0.85,1.0851967679220536e+28,0.005890500000000002,capex
2030,base_input_case,allocation_training_race,base_input_case × allocation_training_race,1.8422829435906177e+30,0.5,0.32,0.1,0.04,0.02,0.02,9.211414717953088e+29,5.8953054194899766e+29,1.8422829435906176e+29,7.369131774362471e+28,3.6845658871812354e+28,3.6845658871812354e+28,0.7,4.1267137936429835e+29,0.2,0.95,7.840756207921668e+28,0.042559999999999994,capex
2030,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,1.8422829435906177e+30,0.55,0.2,0.18,0.04,0.01,0.02,1.0132556189748397e+30,3.684565887181235e+29,3.316109298463112e+29,7.369131774362471e+28,1.8422829435906177e+28,3.6845658871812354e+28,0.6,2.210739532308741e+29,0.12,0.85,2.2549543229549157e+28,0.01224,capex
2031,base_input_case,allocation_base,base_input_case × allocation_base,2.5870127846773634e+30,0.605,0.23399999999999999,0.1,0.04,0.01,0.011,1.5651427347298047e+30,6.05360991614503e+29,2.5870127846773637e+29,1.0348051138709453e+29,2.5870127846773634e+28,2.8457140631450998e+28,0.595,3.601897900106293e+29,0.095,0.895,3.062513689565376e+28,0.01183803075,capex
2031,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,2.5870127846773634e+30,0.708,0.172,0.06,0.03,0.01,0.02,1.8316050515515733e+30,4.449661989645065e+29,1.552207670806418e+29,7.76103835403209e+28,2.5870127846773634e+28,5.174025569354727e+28,0.545,2.4250657843565606e+29,0.066,0.845,1.3524591879356538e+28,0.005227879800000001,capex
2031,base_input_case,allocation_training_race,base_input_case × allocation_training_race,2.5870127846773634e+30,0.495,0.323,0.10200000000000001,0.04,0.02,0.02,1.280571328415295e+30,8.356051294507885e+29,2.6387530403709107e+29,1.0348051138709453e+29,5.174025569354727e+28,5.174025569354727e+28,0.695,5.807455649682979e+29,0.195,0.95,1.075831159103772e+29,0.04158584625,capex
2031,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,2.5870127846773634e+30,0.55,0.198,0.182,0.04,0.01,0.02,1.42285703157255e+30,5.12228531366118e+29,4.7083632681128014e+29,1.0348051138709453e+29,2.5870127846773634e+28,5.174025569354727e+28,0.595,3.047759761628402e+29,0.11499999999999999,0.845,2.9616605483623995e+28,0.01144818675,capex
2032,base_input_case,allocation_base,base_input_case × allocation_base,3.457661460998903e+30,0.61,0.22799999999999998,0.1,0.04,0.01,0.012,2.109173491209331e+30,7.883468131077499e+29,3.457661460998903e+29,1.3830645843995613e+29,3.457661460998903e+28,4.149193753198684e+28,0.59,4.651246197335724e+29,0.09000000000000001,0.89,3.725648204065915e+28,0.010775052,capex
2032,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,3.457661460998903e+30,0.716,0.164,0.06,0.03,0.01,0.02,2.4756856060752145e+30,5.670564796038201e+29,2.0745968765993417e+29,1.0372984382996709e+29,3.457661460998903e+28,6.915322921997806e+28,0.54,3.0621049898606288e+29,0.062000000000000006,0.84,1.5947442787194156e+28,0.0046122048,capex
2032,base_input_case,allocation_training_race,base_input_case × allocation_training_race,3.457661460998903e+30,0.49,0.326,0.10400000000000001,0.04,0.02,0.02,1.6942541158894626e+30,1.1271976362856425e+30,3.59596791943886e+29,1.3830645843995613e+29,6.915322921997806e+28,6.915322921997806e+28,0.69,7.777663690370932e+29,0.19,0.95,1.4038682961119533e+29,0.04060167,capex
2032,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,3.457661460998903e+30,0.55,0.196,0.184,0.04,0.01,0.02,1.901713803549397e+30,6.77701646355785e+29,6.362097088237982e+29,1.3830645843995613e+29,3.457661460998903e+28,6.915322921997806e+28,0.59,3.9984397134991314e+29,0.11,0.84,3.6945582952731974e+28,0.010685136,capex
2033,base_input_case,allocation_base,base_input_case × allocation_base,4.474651579764624e+30,0.615,0.22199999999999998,0.1,0.04,0.01,0.013000000000000001,2.7519107215552435e+30,9.933726507077463e+29,4.474651579764624e+29,1.7898606319058495e+29,4.474651579764624e+28,5.817047053694011e+28,0.585,5.8112300066403156e+29,0.085,0.885,4.371497772495178e+28,0.00976947075,capex
2033,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,4.474651579764624e+30,0.724,0.156,0.06,0.03,0.01,0.02,3.2396477437495876e+30,6.980456464432814e+29,2.6847909478587743e+29,1.3423954739293872e+29,4.474651579764624e+28,8.949303159529248e+28,0.535,3.7345442084715556e+29,0.058,0.835,1.8086397601627742e+28,0.0040419678,capex
2033,base_input_case,allocation_training_race,base_input_case × allocation_training_race,4.474651579764624e+30,0.485,0.329,0.106,0.04,0.02,0.02,2.1702060161858425e+30,1.4721603697425614e+30,4.743130674550501e+29,1.7898606319058495e+29,8.949303159529248e+28,8.949303159529248e+28,0.6849999999999999,1.0084298532736545e+30,0.185,0.95,1.772315467128448e+29,0.03960789875,capex
2033,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,4.474651579764624e+30,0.55,0.194,0.186,0.04,0.01,0.02,2.4610583688705433e+30,8.680824064743371e+29,8.322851938362201e+29,1.7898606319058495e+29,4.474651579764624e+28,8.949303159529248e+28,0.585,5.078282077874872e+29,0.105,0.835,4.452383811776794e+28,0.009950235750000001,capex
2034,base_input_case,allocation_base,base_input_case × allocation_base,5.66170803079416e+30,0.62,0.216,0.1,0.04,0.01,0.014,3.5102589790923794e+30,1.2229289346515386e+30,5.66170803079416e+29,2.264683212317664e+29,5.66170803079416e+28,7.926391243111825e+28,0.58,7.092987820978923e+29,0.08,0.88,4.993463425969162e+28,0.008819711999999999,capex
2034,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,5.66170803079416e+30,0.732,0.148,0.06,0.03,0.01,0.02,4.144370278541325e+30,8.379327885575356e+29,3.397024818476496e+29,1.698512409238248e+29,5.66170803079416e+28,1.132341606158832e+29,0.53,4.441043779354939e+29,0.054000000000000006,0.83,1.9904758219068835e+28,0.0035156807999999996,capex
2034,base_input_case,allocation_training_race,base_input_case × allocation_training_race,5.66170803079416e+30,0.48,0.332,0.108,0.04,0.02,0.02,2.7176198547811966e+30,1.8796870662236611e+30,6.114644673257693e+29,2.264683212317664e+29,1.132341606158832e+29,1.132341606158832e+29,0.6799999999999999,1.2781872050320895e+30,0.18,0.95,2.1857001206048728e+29,0.038604959999999994,capex
2034,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,5.66170803079416e+30,0.55,0.192,0.188,0.04,0.01,0.02,3.1139394169367883e+30,1.0870479419124787e+30,1.0644011097893021e+30,2.264683212317664e+29,5.66170803079416e+28,1.132341606158832e+29,0.58,6.304878063092376e+29,0.1,0.83,5.233048792366672e+28,0.00924288,capex
2035,base_input_case,allocation_base,base_input_case × allocation_base,7.046390551756982e+30,0.625,0.21,0.1,0.04,0.01,0.015,4.4039940948481136e+30,1.4797420158689662e+30,7.046390551756982e+29,2.818556220702793e+29,7.046390551756982e+28,1.0569585827635472e+29,0.575,8.508516591246555e+29,0.07500000000000001,0.875,5.583714013005552e+28,0.00792421875,capex
2035,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,7.046390551756982e+30,0.74,0.14,0.06,0.03,0.01,0.02,5.214329008300166e+30,9.864946772459776e+29,4.227834331054189e+29,2.1139171655270945e+29,7.046390551756982e+28,1.4092781103513965e+29,0.525,5.1790970555413826e+29,0.05,0.825,2.1363775354108205e+28,0.0030318750000000007,capex
2035,base_input_case,allocation_training_race,base_input_case × allocation_training_race,7.046390551756982e+30,0.475,0.33499999999999996,0.11,0.04,0.02,0.02,3.3470355120845663e+30,2.360540834838589e+30,7.751029606932681e+29,2.818556220702793e+29,1.4092781103513965e+29,1.4092781103513965e+29,0.675,1.5933650635160475e+30,0.175,0.95,2.6489694180954286e+29,0.03759328124999999,capex
